Remedy Application Name,Email Distro,Individual contacts,Notes
IT-Infrastructure,infrastructure-team@company.com; datacenter-ops@company.com,,
Dev-Backend,backend-dev-team@company.com; api-development@company.com,,
Dev-Frontend,frontend-dev-team@company.com; ui-ux-team@company.com,Michael Chen,
QA-Testing,qa-testing-team@company.com; test-automation@company.com; performance-testing@company.com,,
Security-Operations,security-ops@company.com; incident-response@company.com; soc-team@company.com,,
Database-Admin,database-admin-team@company.com; sql-server-team@company.com; oracle-dba@company.com,Lisa Anderson,
Network-Services,network-services@company.com; network-engineering@company.com,,
Monitoring-Team,monitoring-alerts@company.com; noc-team@company.com,,
Cloud-Platform,cloud-platform-team@company.com; kubernetes-admin@company.com; container-ops@company.com,,
Storage-Management,storage-mgmt@company.com; backup-admin@company.com,,
Email-Services,email-services-team@company.com; exchange-admin@company.com; messaging-ops@company.com,Daniel Miller,
App-Support,application-support@company.com; middleware-team@company.com,,
Data-Analytics,data-analytics-team@company.com; big-data-engineering@company.com; etl-developers@company.com,,
Web-Services,web-services-team@company.com; webserver-admin@company.com,,
Backup-Recovery,backup-recovery-ops@company.com; disaster-recovery@company.com,,
Dev-Tools,devtools-team@company.com; cicd-engineering@company.com,Amanda White,
Identity-Management,identity-mgmt@company.com; active-directory-team@company.com; ldap-admin@company.com,,
Compliance-Team,compliance-governance@company.com; audit-team@company.com,,
Messaging-Platform,messaging-platform-team@company.com; kafka-admin@company.com; integration-team@company.com,Thomas Lee,
